txn_ID,Portfolio_Name,Strategy_ID,Date,Trans. Type,Share Name,NSE Code,Quantity,Price,Brokerage,Amount,Bal. Qty.,Broker Name,Buy Rate,Sell Rate,Buy Value,Sell Value,Dividend Payout
1,Portfolio2,6,18-05-2017,Buy,Housing & Urban Development Corporation,HUDCO,12787,85.18,0,1089196.66,12787,Kotak,85.18,0,1089196.66,0,0
2,Portfolio4,2,15-09-2017,Buy,Dixon Technologies (India),DIXON,16,588.67,0,9418.72,16,Anand Rathi,588.67,0,9418.72,0,0
3,Portfolio9,2,15-09-2017,Buy,Dixon Technologies (India),DIXON,8,1766,0,14128,8,IDBI Capital,1766,0,14128,0,0
4,Portfolio2,6,23-10-2017,Buy,General Insurance Corporation of India,GICRE,64,433.55,0,27747.2,64,Kotak,433.55,0,27747.2,0,0
5,Portfolio4,6,23-10-2017,Buy,General Insurance Corporation of India,GICRE,64,433.5,0,27744,64,Anand Rathi,433.5,0,27744,0,0
6,Portfolio6,6,23-10-2017,Buy,General Insurance Corporation of India,GICRE,16,433.5,0,6936,16,MOTILAL,433.5,0,6936,0,0
7,Portfolio10,6,23-10-2017,Buy,General Insurance Corporation of India,GICRE,16,433.5,0,6936,16,IDBI Capital,433.5,0,6936,0,0
8,Portfolio11,6,23-10-2017,Buy,General Insurance Corporation of India,GICRE,96,433.5,0,41616,96,IDBI Capital,433.5,0,41616,0,0
9,Portfolio5,10,25-11-2017,Sell,Sarda Energy,SARDAEN,11000,487.3,0,5360300,4281,MOTILAL,0,487.3,0,5360300,0
10,Portfolio5,10,20-12-2017,Sell,Sarda Energy,SARDAEN,770,487.71,0,375536.7,3511,MOTILAL,0,487.71,0,375536.7,0
11,Portfolio4,10,08-01-2018,Sell,Sarda Energy,SARDAEN,3000,574.11,0,1722330,2700,Anand Rathi,0,574.11,0,1722330,0
12,Portfolio2,10,12-01-2018,Buy,Prakash Industries,PRAKASH,4550,213.2235,0,970167,4550,Kotak,213.2235,0,970167,0,0
13,Portfolio2,6,23-01-2018,Buy,Batliboi Limited,BATLIBOI,2500,40,0,100000,2500,Kotak,40,0,100000,0,0
14,Portfolio2,2,31-01-2018,Buy,RBL Bank,RBLBANK,1000,503.21,0,503212.94,1000,Kotak,503.21,0,503212.94,0,0
15,Portfolio2,2,02-02-2018,Buy,Jindal Saw,JINDALSAW,3500,133.2,0,466200,3500,Kotak,133.2,0,466200,0,0
16,Portfolio2,2,02-02-2018,Buy,Uflex Limited,UFLEX,1250,400,0,500000,1250,Kotak,400,0,500000,0,0
